Season,Episode,Character,Appearance_Type
8,Brian's Got a Brand New Bag,Brian Griffin,Featuring
8,Brian's Got a Brand New Bag,Rita,Featuring
8,Hannah Banana,Stewie Griffin,Featuring
8,Hannah Banana,Chris Griffin,Featuring
8,Hannah Banana,Evil Monkey,Featuring
8,Hannah Banana,Miley Cyrus,Featuring
8,Quagmire's Baby,Peter Griffin,Featuring
8,Quagmire's Baby,Stewie Griffin,Featuring
8,Quagmire's Baby,Quagmire,Featuring
8,Quagmire's Baby,Anna Lee Quagmire,Featuring
8,Jerome Is the New Black,Peter Griffin,Featuring
8,Jerome Is the New Black,Jerome,Featuring
8,Jerome Is the New Black,Brian Griffin,Featuring
8,Jerome Is the New Black,Quagmire,Featuring
8,Dog Gone,Brian Griffin,Featuring
8,Dog Gone,Stewie Griffin,Featuring
8,Dog Gone,Peter Griffin,Featuring
8,Dog Gone,Lois Griffin,Featuring
8,Dog Gone,Consuela,Featuring
8,Business Guy,Peter Griffin,Featuring
8,Business Guy,Lois Griffin,Featuring
8,Business Guy,Carter Pewterschmidt,Featuring
8,Big Man on Hippocampus,Dwayne Johnson,Featuring
8,Dial Meg for Murder,Meg Griffin,Featuring
8,Dial Meg for Murder,Brian Griffin,Featuring
8,Extra Large Medium,Peter Griffin,Featuring
8,Extra Large Medium,Chris Griffin,Featuring
8,Extra Large Medium,Stewie Griffin,Featuring
8,"Go, Stewie, Go!",Stewie Griffin,Featuring
8,"Go, Stewie, Go!",Meg Griffin,Featuring
8,"Go, Stewie, Go!",Lois Griffin,Featuring
8,"Go, Stewie, Go!",Julie,Featuring
8,"Go, Stewie, Go!",Anthony,Featuring
8,Peter-assment,Peter Griffin,Featuring
8,Peter-assment,Angela,Featuring
8,Brian Griffin's House of Payne,Brian Griffin,Featuring
8,Brian Griffin's House of Payne,Chris Griffin,Featuring
8,Brian Griffin's House of Payne,Meg Griffin,Featuring
8,Brian Griffin's House of Payne,Stewie Griffin,Featuring
8,Brian Griffin's House of Payne,James Woods,Featuring
8,April in Quahog,Peter Griffin,Featuring
8,Brian & Stewie,Brian Griffin,Featuring
8,Brian & Stewie,Stewie Griffin,Featuring
8,Quagmire's Dad,Quagmire,Featuring
8,Quagmire's Dad,Dan/Ida Quagmire,Featuring
8,Quagmire's Dad,Brian Griffin,Featuring
8,The Splendid Source,Peter Griffin,Featuring
8,The Splendid Source,Quagmire,Featuring
8,The Splendid Source,Joe Swanson,Featuring
8,The Splendid Source,Cleveland Brown,Featuring
8,"Something, Something, Something, Dark Side",Chris Griffin,Featuring
8,"Something, Something, Something, Dark Side",Peter Griffin,Featuring
8,"Something, Something, Something, Dark Side",Lois Griffin,Featuring
8,"Something, Something, Something, Dark Side",Stewie Griffin,Featuring
8,"Something, Something, Something, Dark Side",Brian Griffin,Featuring
8,"Something, Something, Something, Dark Side",Quagmire,Featuring
8,"Something, Something, Something, Dark Side",Cleveland Brown,Featuring
8,"Something, Something, Something, Dark Side",Herbert as Obi-Wan Kenobi,Featuring
8,"Something, Something, Something, Dark Side",Carl as Yoda,Featuring
8,"Something, Something, Something, Dark Side",Mort Goldman as Lando Calrissian,Featuring
8,"Something, Something, Something, Dark Side",Ernie the Giant Chicken as Boba Fett,Featuring
8,"Something, Something, Something, Dark Side",Joe Swanson,Featuring
